,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,MI,FT,Data Scientist,70000.0,EUR,79833.0,DE,0,DE,Large
1,2020,SE,FT,Machine Learning Scientist,260000.0,USD,260000.0,JP,0,JP,Small
2,2020,SE,FT,Big Data Engineer,85000.0,GBP,109024.0,GB,50,GB,Medium
3,2020,MI,FT,Product Data Analyst,20000.0,USD,20000.0,HN,0,HN,Small
4,2020,SE,FT,Machine Learning Engineer,150000.0,USD,150000.0,US,50,US,Large
5,2020,EN,FT,Data Analyst,72000.0,USD,72000.0,US,100,US,Large
6,2020,SE,FT,Lead Data Scientist,190000.0,USD,190000.0,US,100,US,Small
7,2020,MI,FT,Data Scientist,11000000.0,HUF,35735.0,HU,50,HU,Large
8,2020,MI,FT,Business Data Analyst,135000.0,USD,135000.0,US,100,US,Large
9,2020,SE,FT,Lead Data Engineer,125000.0,USD,125000.0,NZ,50,NZ,Small
10,2020,EN,FT,Data Scientist,45000.0,EUR,51321.0,FR,0,FR,Small
11,2020,MI,FT,Data Scientist,3000000.0,INR,40481.0,IN,0,IN,Large
12,2020,EN,FT,Data Scientist,35000.0,EUR,39916.0,FR,0,FR,Medium
13,2020,MI,FT,Lead Data Analyst,87000.0,USD,87000.0,US,100,US,Large
14,2020,MI,FT,Data Analyst,85000.0,USD,85000.0,US,100,US,Large
15,2020,MI,FT,Data Analyst,8000.0,USD,8000.0,PK,50,PK,Large
16,2020,EN,FT,Data Engineer,4450000.0,JPY,41689.0,JP,100,JP,Small
17,2020,SE,FT,Big Data Engineer,100000.0,EUR,114047.0,PL,100,GB,Small
18,2020,EN,FT,Data Science Consultant,423000.0,INR,5707.0,IN,50,IN,Medium
19,2020,MI,FT,Lead Data Engineer,56000.0,USD,56000.0,PT,100,US,Medium
20,2020,MI,FT,Machine Learning Engineer,299000.0,CNY,43331.0,CN,0,CN,Medium
21,2020,MI,FT,Product Data Analyst,450000.0,INR,6072.0,IN,100,IN,Large
22,2020,SE,FT,Data Engineer,42000.0,EUR,47899.0,GR,50,GR,Large
23,2020,MI,FT,BI Data Analyst,98000.0,USD,98000.0,US,0,US,Medium
24,2020,MI,FT,Lead Data Scientist,115000.0,USD,115000.0,AE,0,AE,Large
25,2020,EX,FT,Director of Data Science,325000.0,USD,325000.0,US,100,US,Large
26,2020,EN,FT,Research Scientist,42000.0,USD,42000.0,NL,50,NL,Large
27,2020,SE,FT,Data Engineer,720000.0,MXN,33511.0,MX,0,MX,Small
28,2020,EN,CT,Business Data Analyst,100000.0,USD,100000.0,US,100,US,Large
29,2020,SE,FT,Machine Learning Manager,157000.0,CAD,117104.0,CA,50,CA,Large
30,2020,MI,FT,Data Engineering Manager,51999.0,EUR,59303.0,DE,100,DE,Small
31,2020,EN,FT,Big Data Engineer,70000.0,USD,70000.0,US,100,US,Large
